RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP15,annualValue15,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP16,annualValue16,Float,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ASTNR,applicant,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ASTNR,applicant,String,,,
raw.ppm_0inm_initiative_guid_attr,cleansed.ppm_0inm_initiative_guid_attr,DPR_GUID,applicationObjectGUID,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,GUID,applicationObjectGUID,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,GUID,applicationObjectsGuid,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,RISKA,assessedProjectRisk,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,EXTERNAL_ID,boID,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZBUKT,bucket,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZBUKT,bucket,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZBKTD,bucketDescription,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZBKTD,bucketDescription,String,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,LEDNR,budgerLedger,String,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,VORGA,budgetPlanning,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,BUDGET_STATUS,budgetStatus,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZBUS_DRIVER,businessDriver,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZBUS_DRIVER,businessDriver,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZ_BUS_FUNC,businessFunction,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZ_BUS_FUNC,businessFunction,String,,,
raw.ppm_rpm_relation_d,cleansed.ppm_rpm_relation_d,CAP_PERCENT,capacityPercentage,Float,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,CAP_PERIODTYPE,capacityPeriodBreakdown,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,UNIT,capacityUnit,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZ_CASE_NUM,caseNumber,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZ_CASE_NUM,caseNumber,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,CATEGORY,category,String,,,
raw.ppm_0wbs_elemt_attr,cleansed.ppm_0wbs_elemt_attr,ZZCEMEL_ID,cemlnclassification,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,ZZCEMEL_ID,cemlnClassificationID,String,,,
raw.ppm_0rpm_decision_guid_id_text,cleansed.ppm_0rpm_decision_guid_id_text,GUID,cgpl_GUID,String,,,
raw.ppm_0rpm_port_guid_attr,cleansed.ppm_0rpm_port_guid_attr,CHANGED_BY,changedBy,String,,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,CHANGED_BY,changedBy,String,,,
raw.ppm_rpm_relation_d,cleansed.ppm_rpm_relation_d,CHANGED_BY,changedBy,String,,,
raw.ppm_0project_attr,cleansed.ppm_0project_attr,AEDAT,changedDateOn,date,str-yyyy-mm-dd-to-date,,
