RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.eam_anla,cleansed.eam_anla,LIEFE,assetSupplierName,String,,,
raw.eam_anla,cleansed.eam_anla,ORD43,assetType,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ORD43,assetType,String,,,
raw.eam_anla,cleansed.eam_anla,TYPBZ,assetTypeName,String,,,
raw.eam_anla,cleansed.eam_anla,ANLAR,assetTypes,String,,,
raw.eam_anla,cleansed.eam_anla,ZUGDT,assetValueDateFirstPosting,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,ASSET_VERSION,assetVersion,String,,,
raw.eam_anla,cleansed.eam_anla,XOPVW,aucLineItemSettlement,String,,,
raw.eam_anla,cleansed.eam_anla,XINVM,aucMeasures,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,MEINS,baseUnitOfMeasure,String,,,
raw.eam_anla,cleansed.eam_anla,BOGUS_ANLN1,bogusAssetNumber,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,BUDGET_PD,budgetPeriod,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,GSBER,businessArea,String,,,
raw.eam_anla,cleansed.eam_anla,XAKTIV,capitalizeFixedAssetIndicator,String,flag-x-yes-no,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_CASEID,caseID,String,,,
raw.eam_anla,cleansed.eam_anla,ORD44,cemlnClassfication,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ORD44,cemlnclassification,String,,,
raw.eam_anla,cleansed.eam_anla,ACT_CHANGE_PM,changedAssetMasterRecord,String,,,
raw.eam_anla,cleansed.eam_anla,AENAM,changedBy,String,,,
raw.eam_anla,cleansed.eam_anla,AEDAT,changedOn,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,ANUPD,changeTypeIndicator,String,,,
raw.eam_anla,cleansed.eam_anla,BUKRS,companyCode,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,BUKRS,companyCode,String,,,
raw.eam_0asset_main_text,cleansed.eam_0asset_main_text,BUKRS,companyCode,String,,,
raw.eam_anla,cleansed.eam_anla,ANEQS,completnessIndicator,Integer,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,KOKRS,controllingArea,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,KOSTL,costCenter,String,,,
raw.eam_anla,cleansed.eam_anla,ORD42,costingSystem,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ORD42,costingSystem,String,,,
raw.eam_anla,cleansed.eam_anla,LAND1,countyOrigin,String,,,
raw.eam_anla,cleansed.eam_anla,ERNAM,createdBy,String,,,
raw.eam_anla,cleansed.eam_anla,ERDAT,createdOn,Date,str-yyyy-mm-dd-to-date,,
