RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,ERDAT,createdOn,date,str-yyyy-mm-dd-to-date,,
raw.fin_cobra,cleansed.fin_cobra,TIMESTMP,createdTime,DateTime,int-utc-to-sydney-datetime,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,KKBER,creditControlArea,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,BWAER,currency,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,WAERS,currencyKey,String,,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,WAERS,currencyKey,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,WAERS,currencyKey,String,,,
raw.fin_cobra,cleansed.fin_cobra,ADDCURR,currencySettlement,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,DATLT,dataCommunicationLineNo,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,DATLT,dataCommunicationNo,String,,,
raw.fin_coss,cleansed.fin_coss,BEKNZ,debitCreditIndicator,String,,,
raw.fin_cosp,cleansed.fin_cosp,BEKNZ,debitCreditIndicator,String,,,
raw.fin_coss,cleansed.fin_coss,BELTP,debitType,Integer,,,
raw.fin_cosp,cleansed.fin_cosp,BELTP,debitType,Integer,,,
raw.fin_cobrb,cleansed.fin_cobrb,DFREG,defaultRule,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,ABTEI,department,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,ABTEI,department,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,RIFIND,derivationRule,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,DI_OPERATION_TYPE,di_operation_type,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,DI_SEQUENCE_NUMBER,di_sequence_number,bigint,,,
